Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
RES002 - ECOPETROL,2010,05 - Antioquia,1,3,260.000,202.998,5,4,202.998,
ESS091 -  ECOOPSOS,2010,05 - Antioquia,1,27,1.217.741,4.558.151,366,162,4.673.850,115.699
ESS062 - ASMET SALUD,2010,05 - Antioquia,1,6,164.400,3.168.200,159,85,3.168.200,
ESS024 - COOSALUD E.S.S.,2010,05 - Antioquia,1,22,1.272.239,4.043.669,272,79,4.118.159,74.490
ESS002 - EMDISALUD,2010,05 - Antioquia,1,3,,183.300,9,8,185.400,2.100
EPSS33 - SALUDVIDA,2010,05 - Antioquia,1,1,9.843,,2,1,,
EPS037 - NUEVA EPS,2010,05 - Antioquia,1,24,28.509.938,8.646.118,3.794,670,8.646.118,
EPS033 - SALUDVIDA,2010,05 - Antioquia,1,2,,8.493,24,14,10.593,2.100
EPS030 - CONDOR,2010,05 - Antioquia,1,2,,80.000,3,1,80.000,
EPS023 - CRUZ BLANCA,2010,05 - Antioquia,1,18,56.726.654,8.707.233,3.796,318,10.001.333,1.294.100
EPS020 - CAPRECOM,2010,05 - Antioquia,1,15,26.325,20.000.683,1.009,419,21.005.903,1.045.004
EPS017 - FAMISANAR,2010,05 - Antioquia,1,3,912.126,605.096,58,5,609.296,4.200
EPS016 - COOMEVA,2010,05 - Antioquia,1,124,2.360.885,10.310.752,1.501,892,11.427.699,1.148.200
EPS013 - SALUDCOOP,2010,05 - Antioquia,1,55,147.874.028,20.037.069,8.526,1.006,22.692.969,2.655.900
EPS010 - EPS SURA,2010,05 - Antioquia,1,150,467.638.155,138.427.830,25.979,3.476,132.740.492,14.192.400
EPS009 - COMFENALCO ANTIOQUIA,2010,05 - Antioquia,1,91,10.012.112,22.598.145,1.217,718,23.143.005,553.260
EPS005 - SANITAS,2010,05 - Antioquia,1,17,285.340,2.622.504,141,86,2.645.274,8.000
EPS003 - CAFESALUD,2010,05 - Antioquia,1,29,66.118.239,10.198.801,4.257,428,11.715.101,1.516.300
EPS002 - SALUD TOTAL,2010,05 - Antioquia,1,28,3.673.127,10.718.616,834,364,10.750.016,31.400
EPS001 - ALIANSALUD,2010,05 - Antioquia,1,5,,35.000,36,20,35.000,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,05 - Antioquia,1,14,1.400.275,5.139.130,126,78,5.139.131,1
EMP017 - EMP COLMENA S.A,2010,05 - Antioquia,1,9,,,26,9,,
EMP015 - EMP MEDISANITAS S. A.,2010,05 - Antioquia,1,2,,172.880,7,5,172.880,
EMP002 - EMP CAFESALUD,2010,05 - Antioquia,1,10,424.726,288.250,36,13,478.650,190.400
CCF002 - CONFAMA,2010,05 - Antioquia,1,60,11.656.601,24.598.275,1.823,855,25.555.736,928.774
CCF001 - COMFAMILIAR CAMACOL,2010,05 - Antioquia,1,11,472.640,249.260,31,17,259.600,10.340
52000 - DIRECCION DEPARTAMENTAL DE SALUD DE NARI,2010,05 - Antioquia,1,1,,29.600,1,1,29.600,
41001 - DIRECCION LOCAL DE SALUD  DE NEIVA - HUI,2010,05 - Antioquia,1,1,,35.431,2,1,35.431,
14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.,2010,05 - Antioquia,1,1,,10.700,1,1,30.700,20.000
05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO,2010,05 - Antioquia,1,9,,470.916,58,22,476.501,44.520
05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA,2010,05 - Antioquia,1,6,1.316.433,7.362.636,394,260,7.607.396,244.760
05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU,2010,05 - Antioquia,1,28,55.945.410,25.446.364,4.221,749,26.372.132,1.641.109
RES002 - ECOPETROL,2010,08 - Atlántico,1,3,,183.595,4,3,183.595,
ESS207 - MUTUAL SER,2010,08 - Atlántico,1,16,23.170,1.073.776,99,59,1.073.776,
ESS133 - COMPARTA,2010,08 - Atlántico,1,8,,253.086,43,39,40.990.641.096,1.290
ESS076 - AMBUQ,2010,08 - Atlántico,1,19,1.806.300,3.696.075,247,70,3.696.075,
ESS024 - COOSALUD E.S.S.,2010,08 - Atlántico,1,8,191.460,436.563,51,18,436.563,
EPS037 - NUEVA EPS,2010,08 - Atlántico,1,22,34.176.862,5.452.584,4.089,399,5.463.084,10.500
EPS034 - SALUDCOLOMBIA,2010,08 - Atlántico,1,2,,45.282,4,3,45.282,
EPS026 - SOLSALUD,2010,08 - Atlántico,1,9,,148.007,20,15,149.907,1.900
EPS020 - CAPRECOM,2010,08 - Atlántico,1,28,23.600,3.612.393,248,73,3.612.393,
EPS017 - FAMISANAR,2010,08 - Atlántico,1,9,,631.119,17,12,635.319,4.200
EPS016 - COOMEVA,2010,08 - Atlántico,1,28,25.263,187.356,709,328,208.406,21.050
EPS014 - HUMANA VIVIR,2010,08 - Atlántico,1,2,,79.200,12,9,79.200,
EPS013 - SALUDCOOP,2010,08 - Atlántico,1,24,46.696.155,6.783.343,2.505,348,7.517.943,734.600
EPS010 - EPS SURA,2010,08 - Atlántico,1,22,12.732.440,4.234.971,795,140,4.893.625,454.200
EPS005 - SANITAS,2010,08 - Atlántico,1,1,,-12.200,4,4,12.200,12.200
EPS003 - CAFESALUD,2010,08 - Atlántico,1,11,5.802.464,760.178,337,38,995.478,235.300
EPS002 - SALUD TOTAL,2010,08 - Atlántico,1,14,,5.241.048,426,247,5.241.048,
EPS001 - ALIANSALUD,2010,08 - Atlántico,1,6,,,28,6,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,08 - Atlántico,1,2,,561.080,13,8,561.080,
EMP017 - EMP COLMENA S.A,2010,08 - Atlántico,1,8,,,103,49,,
EMP002 - EMP CAFESALUD,2010,08 - Atlántico,1,3,74.250,38.650,11,3,78.050,39.400
CCF015 - COMFACOR,2010,08 - Atlántico,1,8,,116.300,23,17,116.300,
08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI,2010,08 - Atlántico,1,3,,,4,4,,
0 - NO DEFINIDO,2010,08 - Atlántico,1,1,182.920,2.913.444,136,59,2.913.444,
ESS207 - MUTUAL SER,2010,-1 - NO DEFINIDO,1,1,,,1,1,,
ESS133 - COMPARTA,2010,-1 - NO DEFINIDO,1,3,4.820,138.020,10,5,16.305.309.290,270
EPSS26 - SOLSALUD,2010,-1 - NO DEFINIDO,1,1,38.895,,2,1,,
EPS037 - NUEVA EPS,2010,-1 - NO DEFINIDO,1,17,1.354.363,547.850,249,50,547.850,
EPS026 - SOLSALUD,2010,-1 - NO DEFINIDO,1,16,,1.205.556,140,78,1.221.356,15.800
EPS020 - CAPRECOM,2010,-1 - NO DEFINIDO,1,30,,4.519.322,271,59,4.519.322,18.540
EPS018 - SOS,2010,-1 - NO DEFINIDO,1,1,,1.800.000,1,1,1.800.000,
EPS012 - COMFENALCO VALLE,2010,-1 - NO DEFINIDO,1,1,,35.400,1,1,35.400,
EPS008 - COMPENSAR,2010,-1 - NO DEFINIDO,1,1,,55.224,3,1,55.224,
EPS005 - SANITAS,2010,-1 - NO DEFINIDO,1,9,,743.618,107,93,829.218,147.600
EPS001 - ALIANSALUD,2010,-1 - NO DEFINIDO,1,5,,34.812,9,6,34.812,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,-1 - NO DEFINIDO,1,9,,1.471.270,37,29,1.471.270,
EMP002 - EMP CAFESALUD,2010,-1 - NO DEFINIDO,1,4,970.230,27.720,8,2,27.720,
CCF101 - COLSUBSIDIO,2010,-1 - NO DEFINIDO,1,23,,6.430.268,607,282,4.083.888,10.060
CCF053 - COMFACUNDI,2010,-1 - NO DEFINIDO,1,18,,5.658.053,103,58,5.658.053,
