	anno	departamento	zona	regimen_de_administradora	sexo	etapas_ciclo_vital	tipo_de_usuario	nivel_sisben	conteo_de_administradoras	conteo_de_prestadores	costo_procedimiento	neto_a_pagar_-_consulta	numero_de_atenciones	numero_personas_atendidas	valor_consulta	valor_cuota_moderadora_-_consulta
1706	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	20600.0	1	1	20600.0	2100.0
1707	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NIVEL 2	1	2	125832	29698.0	9	1	29698.0	8000.0
1708	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	2	7	261807	100810.0	22	4	100810.0	8400.0
1709	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	3	4	379900	29698.0	4	4	29698.0	2100.0
1710	2010	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	43200.0	2	1	43200.0	0.0
1711	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	3	3	182200	199040.0	17	5	209100.0	10060.0
1712	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	3	76200	61800.0	7	2	61800.0	0.0
1714	2010	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	23600.0	1	1	23600.0	0.0
1721	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NIVEL 1	1	2	173500	46800.0	6	1	46800.0	0.0
1722	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	118904	16400.0	10	1	16400.0	0.0
