Municipio,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total general
Atlantico,2028,1954,2072,2467,2140,2935,3004,2636,3659,2382,14888
Bolivar,1204,1156,1558,1618,1455,2253,1856,1658,2300,1507,9971
Caldas,1284,1586,1595,1870,1999,2410,2078,2084,2730,1899,9265
Cauca,775,2094,2610,2205,2494,2679,2393,2145,2601,1121,12625
Cordoba,1288,1159,1561,1836,1833,2480,2970,2258,2689,2144,13645
Antioquia,9826,10410,10000,10317,10983,13594,13174,14752,16975,13213,58259
Choco,37,38,52,168,60,100,130,150,143,86,672
Cundinamarca,2486,2865,3463,3900,3861,4491,4605,4363,5159,3958,21455
La Guajira,127,165,215,293,265,407,340,326,513,360,2037
Magdalena,475,649,685,734,770,1130,1139,811,1418,866,5794
Meta,933,1005,1163,1142,1063,1221,981,560,717,447,5502
Narino,3420,4199,5392,4856,4867,6086,5765,4711,5190,2856,25934
Norte de Santander,708,642,1133,1090,1007,1528,1451,733,1588,1009,7113
Quindio,860,1304,1230,936,1106,911,959,914,1369,719,5922
Risaralda,2026,1864,2362,2247,2276,2525,2070,1705,2082,1358,10549
Santander,2935,2336,3069,2835,2895,3569,3311,2541,3200,2301,16004
Sucre,436,433,454,522,799,1109,1057,891,1338,1014,5385
Tolima,1467,1287,1694,1949,1687,2017,1970,1222,1718,1193,9576
Bogota, DC,15309,16738,19622,19266,18141,20630,17692,14365,17342,13381,87298
Valle del Cauca,3829,3564,5589,6343,6868,7339,7659,6969,8440,5032,32633
Boyaca,2786,2742,3154,3692,3520,3827,2867,1959,2856,1847,17001
Arauca,40,92,152,122,110,191,210,95,174,98,872
Caqueta,309,320,366,519,560,698,586,493,917,215,3565

